Block Height,Output Index,Address/Pubkey,Amount (BTC),Script Type
104,0,04cca405a78f6b83ca6e59c441df093c337a70d70015f428595be8b4670d5ba62093e33195b1cf9c220005fc90320c3309cbbc34c2e6da5558bd87b1f5f7c4400b,50.0,p2pk
105,0,04953e5321dc6538f67ac273fe70cbfdec386bd389b0bf0c81a257f9351c7c0d9b6f8cb3e4b14fe322158935b04474e5afbded15f3ed5edd055d15368d708704fe,50.0,p2pk
106,0,045695295847de164b8973b15c7e981fc7e6f2ebf224f9b92a6e53b889eb88adb0bcab956b54418c4a5074d3e766f4e887f1593de05179abc0b33c0437504e04b3,50.0,p2pk
107,0,049a72c65160bbf2726ac4b4beacec13abf5d65be89f8ddb2347870ab1c091d1e1ae3314ff7384f9da33c31664ff5aafb958a762f37f8726428cab6dc2a5af0aad,50.0,p2pk
108,0,04d42de70341ea7933849a8ad7f1fab5bdc38fdd56f5cb4cedde3d3823233dbe601421e06d32ed05f08a249faa04aa2e131284c75c7e606d2f692bec7bd5a8026e,50.0,p2pk
109,0,040a2e3fd6c40ec70cb3d47dd3cf2208d487eadb3631ce499a474bfec2e2f449b8cadbd02bea341f9d996f5af053168362c9f188641ad2959c3b2a0e48ffc40a8f,50.0,p2pk
110,0,04f5e98fbde709bee5465104448a9947f3d8604bc91e1af5e5baca9962ffeb3f1ddd9a3480c718e32334992511ca63971cb679c1027c88f4ea2d2bbed4cf42cc86,50.0,p2pk
111,0,04a75502d3670b14b7e5640591191c05868da841699d52f9752a70dc891183a2b9a00f7a5893389f3b973a8ac5e30c20041ccbd99a3889b7ae7a705203d0991498,50.0,p2pk
112,0,04bb12c362f9e454b2766affdc2bdcad548cb7e62202372365a38463798b47fcfc4f20321adb48c16a010dfb43fa5c80bc49d62a23d375d4c5a91cf29529266fe4,50.0,p2pk
113,0,04d8fc18bbf716dfdfe6775d83b1b91bdd6ae3fb07093788e96d36c65cff5812f2705e99228bc31e3338011359d96f7419a084d317431ce8a8103dcdc752716d43,50.0,p2pk
114,0,04cd10ce592a9c4918948a5b4e92e9702e6c36eed1a627594f67066792b3a227cedba7be9df6e8117bee0499e243e4df90e13efdd8e14e1778e2247c0e16661057,50.0,p2pk
115,0,047a36cf0b12caed035efce9c21f8067afb25c76f008d7f88071618691b3e1bc7be198d74a81f0e5bf37444024beb345d57d1be245cc1516eae397aeac49c02221,50.0,p2pk
116,0,048bdd0ed16efa3601791aa2eed35fb3706a5ed49696f2dccf768ac98673f28560c595dc064c752002c2ca4928348edc20d62499c5f8f5b1ec0225ceb4259368a9,50.0,p2pk
117,0,04f8f1b66e48a29fd15aa26741128bcf731646161b1603861526216c12ec3e89d2b3d34c3d747afccdfd4704a0972a5184151d9ce0776aab237e46f464c145fa04,50.0,p2pk
118,0,04e6ee7fdd0e774bd612f713f46383da9a6a9d101f5a2c0f3fd7b370e0bbf016265466e06e0f9339882b6ef217e3f0cc319cbbddc604fbd70da4fb17f1ece3de85,50.0,p2pk
119,0,04a1e6391bf1c13349210f9cc74788d4f07ee5051d92a039436ca42bb607017ac0e773ab7c2f91541f57e8323e84c2a61f10b8d1fa7762417ba099a745224a8e06,50.0,p2pk
120,0,0414f296079b181ab76cd817f8583761d9ba5b00ca46f16eadfab8e0bb3a2b0420831cfea00b5cfcd97a12fd14b469d9385140d187d2bd8add9a1044685db9552b,50.0,p2pk
121,0,04a1cf0c83c93ca840f97db5ceb2302c494afc81c75cb29ea1b42c8f7d6b94d8dbbc3f20521999f8d90ad0c83231fe6e9bfd4e6e1c88396ebeeb5260c467651e4f,50.0,p2pk
122,0,049345479778f20f34e515b68e02e3ed614ffc5f08b226ef1bbb7f6b9550dc0e753ba54b8842dfb290fdd5089928673118a546536f5275a18f5c243e6a9766f642,50.0,p2pk
123,0,04b715afd59b31be928e073e375a6196d654a78d9aa709789665dd4aecf1b85ebc850ffb90a1c04f18565afe0be4a042ff6629c398f674a5c632b017d793dc8e04,50.0,p2pk
124,0,041fd091cdf05a34ffa28103adf83f399437d5bcf79fa07f55fe98f65a43a82e0ce5adbe6a3abb597d39573693453d8c1fac40ffb2ff2c9d9405940964d7cd6134,50.0,p2pk
125,0,04327083161527baf5626445d5e795665b260adf7ecc38b000ffba904a9377de16e77e8d3988ef86ba7d2e3faedc3813eebb9821b045d0f3ef0e6d2eacc2867e2c,50.0,p2pk
126,0,04ddfeb7173ed20ae658efa0618fc2f0297f7e0345566bd936e6199807b3fe0560dd1a27d8f7e4b7b8a944653df5c55bc50ab563b5346ac21deffd1a1701564164,50.0,p2pk
128,0,04076258c08254b7a4d8765afe658ca545827e9bfbc0c31c90377cf3459f2b4d83ef008867a1d28cee7f7ee40d6a47fcb2f271934762d23b44576125e87ce6bc03,50.0,p2pk
